Wavelength	SysResRem
2600.0	3.275806E-06
2610.0	5.791524E-06
2620.0	2.150172E-06
2630.0	4.689877E-06
2640.0	2.430741E-06
2650.0	5.972407E-06
2660.0	5.936680E-06
2670.0	5.469455E-06
2680.0	6.582069E-06
2690.0	4.356159E-06
2700.0	7.327700E-06
2710.0	6.275005E-06
2720.0	9.228406E-06
2730.0	9.245114E-06
2740.0	8.693080E-06
2750.0	1.165408E-05
2760.0	1.175162E-05
2770.0	1.282331E-05
2780.0	1.684117E-05
2790.0	1.748807E-05
2800.0	2.141617E-05
2810.0	2.462710E-05
2820.0	2.668152E-05
2830.0	3.056096E-05
2840.0	3.370009E-05
2850.0	3.730422E-05
2860.0	4.024393E-05
2870.0	4.557538E-05
2880.0	4.965057E-05
2890.0	5.056146E-05
2900.0	5.231439E-05
2910.0	5.575593E-05
2920.0	6.054667E-05
2930.0	6.136478E-05
2940.0	6.335571E-05
2950.0	6.510817E-05
2960.0	6.832025E-05
2970.0	6.853798E-05
2980.0	7.285040E-05
2990.0	6.988703E-05
3000.0	6.791172E-05
3010.0	6.877049E-05
3020.0	6.803544E-05
3030.0	6.622161E-05
3040.0	6.937815E-05
3050.0	6.617034E-05
3060.0	6.274761E-05
3070.0	6.158535E-05
3080.0	5.700001E-05
3090.0	5.262154E-05
3100.0	4.880081E-05
3110.0	5.127287E-05
3120.0	4.754138E-05
3130.0	5.091401E-05
3140.0	5.417094E-05
3150.0	5.563692E-05
3160.0	5.799585E-05
3170.0	5.436471E-05
3180.0	5.655108E-05
3190.0	5.555167E-05
3200.0	5.909960E-05
3210.0	6.276338E-05
3220.0	6.379623E-05
3230.0	7.038048E-05
3240.0	7.257329E-05
3250.0	7.532702E-05
3260.0	7.433238E-05
3270.0	7.507252E-05
3280.0	7.390054E-05
3290.0	7.492146E-05
3300.0	7.387930E-05
3310.0	6.992930E-05
3320.0	6.659871E-05
3330.0	6.473781E-05
3340.0	6.461892E-05
3350.0	6.061451E-05
3360.0	5.601799E-05
3370.0	5.173693E-05
3380.0	5.156494E-05
3390.0	4.907210E-05
3400.0	4.618206E-05
3410.0	4.593220E-05
3420.0	4.350576E-05
3430.0	4.094281E-05
3440.0	3.997335E-05
3450.0	3.990360E-05
3460.0	4.076050E-05
3470.0	4.035904E-05
3480.0	3.785441E-05
3490.0	3.781228E-05
3500.0	3.512014E-05
3510.0	3.713866E-05
